SC  LATITUDE  LONGITUDE  "Popular" or USGS Spring Name        TF   TC   P.P. 492  Circ. 790  NOAA  AMS                    USGS Quadrangle
AK   58.2700   -154.890  HOT SPRINGS NEAR MT KATMAI             H    H        58       null     1  MT. KATMAI             (MT. KATMAI (B-3) 15)        
AK   61.2000   -159.863  HOT SPRINGS NEAR OPHIR CREEK         145   63        26       null     1  RUSSIAN MISSION        (RUSSIAN MISSION (A-2) 15)   
AK   66.1500   -157.117  HOT SPRINGS NEAR SOUTH BM            122   50      null          6     3  SHUNGNAK               null                         
AK   53.8770   -166.448  HOT SPRINGS NEAR SUMMER BAY            H    H      null       null     2  UNALASKA               null                         
AK   58.0330   -136.017  HOT SPRINGS NORTH END TENAKEE INLET  180   82      null         22     1  MT. FAIRWEATHER        (MT. FAIRWEATHER (A-1) 15)   
AK   51.9700   -176.610  HOT SPRINGS ON ADAK ISLAND           154   68        33       null     1  ADAK                   null                         
AK   54.1800   -165.410  HOT SPRINGS ON AKUN ISLAND             H    H      null       null     2  UNIMAK                 null                         
AK   54.2300   -165.660  HOT SPRINGS ON AKUN ISLAND             H    H      null       null     1  UNIMAK                 null                         
AK   52.1900   -174.250  HOT SPRINGS ON ATKA ISLAND           167   75        37       null     3  ATKA                   null                         
AK   52.3400   -174.260  HOT SPRINGS ON ATKA ISLAND             H    H        35       null     1  ATKA                   null                         
AK   52.2700   -174.042  HOT SPRINGS ON ATKA ISLAND             H    H        36       null     2  ATKA                   null                         
AK   65.2330   -144.483  HOT SPRINGS ON BIG WINDY CREEK         H    H        20       null     2  CIRCLE                 (CIRCLE (A-1) 15)            
AK   53.9500   -168.037  HOT SPRINGS ON BOGOSLOF ISLAND         H    H        44       null     1  UMNAK                  null                         
AK   52.0420   -176.108  HOT SPRINGS ON GREAT SITKIN ISLAND   210   99        34         16     1  ADAK                   null                         
AK   66.2330   -157.583  HOT SPRINGS ON HAWK RIVER            122   50      null       null     2  SHUNGNAK               null                         
AK   65.9830   -150.560  HOT SPRINGS ON LOWER RAY RIVER       142   61      null       null     1  TANANA                 (TANANA (D-2) 15)            
AK   61.3630   -157.733  HOT SPRINGS ON UPPER CHUILNUK RIVER    H    H      null       null     1  SLEETMUTE              (SLEETMUTE (B-4) 15)         
AK   65.2160   -149.993  HUTLINANA HOT SPRINGS                109   43        15       null     1  LIVENGOOD              LIVENGOOD (A-6) 15           
AK   66.3420   -150.850  KANUTI HOT SPRINGS                   151   66      null         11     1  BETTLES                (BETTLES (B-2) 15)           
AK   65.8100   -151.237  KILO HOT SPRING                      122   50      null       null     1  TANANA                 TANANA (D-3)                 
AK   65.4590   -153.312  LITTLE MELOZITNA HOT SPRINGS         176   80        11          9     1  MELOZITNA              MELOZITNA (B-1) 15           
AK   53.8920   -166.930  MAKUSHIN VOLCANO FUMAROLES           310  154        45       null     1  UNALASKA               null                         
AK   65.0060   -150.633  MANLEY HOT SPRINGS                   133   56        14         13     4  TANANA                 TANANA (A-2)                 
AK   65.1290   -154.692  MELOZI (MELOZITNA) SPRINGS           131   55        10          8     3  MELOZITNA              MELOZITNA (A-4) 15           
AK   62.0580   -145.222  MINERAL SPRING (LOWER KLAWASI CONE)   82   28      null       null     2  GULKANA                GULKANA (A-3) 15             
AK   57.6440   -135.333  NYLEN HOT SPRINGS                    120   49      null       null     3  SITKA                  (SITKA (C-5) 15)             
AK   69.3300   -144.044  OKPILAK SPRINGS                      119   49      null       null     1  MT. MICHELSON          (MT. MICHELSON (B-1) 15)     
AK   65.0930   -164.922  PILGRIM SPRINGS                      178   81         6          3     2  BENDELEBEN             BENDELEBEN (A-6) 15          
AK   65.9700   -154.033  POCAHONTAS HOT SPRINGS                 H    H      null       null     1  MELOZITNA              MELOZITNA (D-3) 15           
AK   65.9630   -150.919  RAY RIVER HOT SPRING                 117   47      null       null     2  TANANA                 TANANA (D-2) 15              
AK   69.6270   -146.027  RED HILL SPRING                       91   33      null       null     1  MT. MICHELSON          MT. MICHELSON (C-4)          
AK   67.2830   -155.067  REED RIVER HOT SPRING                122   50         1         10     1  SURVEY PASS            null                         
AK   65.8580   -164.710  SERPENTINE HOT SPRINGS               171   77         4          2     1  BENDELEBEN             BENDELEBEN (D-6) 15          
AK   56.5800   -132.180  SOUTH STIKINE SPRING                   W    W        74       null     3  PETERSBURG             (PETERSBURG (C-1) 15)        
AK   56.9280   -158.120  SURPRISE LAKE HOT SPRING              73   23      null       null     1  CHIGNIK                (CHIGNIK (D-1) 15)           
AK   57.7810   -135.217  TENAKEE HOT SPRINGS                  109   43        67       null     1  SITKA                  SITKA (D-4) 15               
AK   53.4430   -168.092  THERMAL SPRINGS IN OKMOK CALDERA     212  100      null       null     2  UMNAK                  null                         
AK   65.2740   -148.847  TOLOVANA HOT SPRINGS                 140   60        17         12     1  LIVENGOOD              LIVENGOOD (B-4) 15           
AK   66.1970   -154.006  TUNALKTEN LAKE HOT SPRING           null null      null       null     1  HUGHES                 HUGHES (A-3) 15              
AK   56.6670   -132.280  TWIN LAKES HOT SPRINGS                70   21      null       null     2  PETERSBURG             (PETERSBURG (C-1) 15)        
AK   62.0810   -145.007  UPPER KLAWASI WARM SPRINGS            86   30      null       null     1  GULKANA                GULKANA (A-3) 15             
AK   57.8310   -156.513  W UKINEK SPRING                      178   81      null       null     2  UGASHIK                (UGASHIK (D-2) 15)           
AK   66.3830   -157.517  WARM SPRING NEAR PURCELL MOUNTAIN     68   20      null       null     1  SHUNGNAK               null                         
AK   57.8070   -136.341  WHITE SULPHUR SPRINGS (HOONIAH H S)  111   44        65         23     1  SITKA                  SITKA (D-8) 15               
AR   34.5420   -93.0240  BIG CHALYBEATE SPRING                 79   26         3       null     1  LITTLE ROCK            HOT SPRINGS NORTH 7.5        
AR   34.3840   -93.6070  CADDO GAP SPRINGS                     95   35         5       null     4  LITTLE ROCK            (GLENWOOD 15)                
AR   34.5130   -93.0530  HOT SPRINGS                          147   64         2       null     2  LITTLE ROCK            HOT SPRINGS NORTH 7.5        
AR   34.4060   -93.9080  SPRING ON LITTLE MISSOURI RIVER       74   23         4       null     3  LITTLE ROCK            (ATHENS 15)                  
AR   34.3210   -93.7390  SPRING ON REDLAND MOUNTAIN            77   25         6       null     5  LITTLE ROCK            (GLENWOOD 15)                
AR   36.4800   -91.0530  WARM SPRINGS                          82   28         1       null     1  POPLAR BLUFF           WARM SPRINGS 7.5             
AZ   32.2810   -110.730  AGUA CALIENTE                         86   30      null       null     6  TUCSON                 BELLOTA RANCH 15             
AZ   31.6950   -110.963  AGUA CALIENTE SPRING                  90   32        20       null     1  NOGALES                MOUNT WRIGHTSON 15           
AZ   32.9840   -113.324  AGUA CALIENTE SPRINGS                102   39        11       null     1  AJO                    AGUA CALIENTE 7.5            
AZ   31.6730   -109.902  ANTELOPE SPRING                       79   26      null       null     1  DOUGLAS                HAY MOUNTAIN 7.5             
AZ   31.3620   -109.265  ASTIN SPRING                          75   24      null       null     3  DOUGLAS                COLLEGE PEAKS 15             
AZ   34.9250   -114.221  CALICHE SPRING                        79   26      null       null     1  NEEDLES                YUCCA NW 7.5                 
AZ   35.2130   -113.425  CASA GRANDE SPRING                    72   22      null       null     1  WILLIAMS               null                         
AZ   33.5100   -110.403  CASSADORE SPRING                      73   23      null       null     4  MESA                   CASSADORE SPRING 7.5         
AZ   33.9880   -112.362  CASTLE HOT SPRINGS                   115   46         8       null     1  PHOENIX                GOVERNORS PEAK 7.5           
AZ   33.0550   -109.295  CLIFTON HOT SPRINGS                  102   39        17       null     6  CLIFTON                (CLIFTON 15)                 
AZ   34.6950   -113.572  COFER HOT SPRING                      97   36      null       null     2  PRESCOTT               WIKIEUP 7.5                  
AZ   36.5090   -111.852  COLORADO POOL                         86   30      null       null     1  MARBLE CANYON          (EMMETT WASH 15)             
AZ   33.1700   -110.528  COOLIDGE DAM WARM SPRING              99   37      null       null     9  MESA                   COOLIDGE DAM 7.5             
AZ   33.0460   -109.440  EAGLE CREEK HOT SPRINGS               97   36        16         30     7  CLIFTON                CLIFTON 15                   
AZ   35.1690   -113.851  FROST MINE SPRING                     70   21      null       null     2  WILLIAMS               (HUALAPAI PEAK NE 7.5)       
AZ   32.9710   -109.350  GILLARD HOT SPRINGS                  180   82      null         32     2  SILVER CITY            GUTHRIE 15                   
AZ   33.0080   -109.778  GRAPEVINE SPRING                      91   33      null       null     8  CLIFTON                (FORT THOMAS 15)             
AZ   33.4000   -109.152  HANNAH HOT SPRING                    133   56      null       null     1  CLIFTON                DUTCH BLUE CREEK 7.5         
AZ   32.3360   -110.240  HOOKERS HOT SPRINGS                  127   53        19       null     4  TUCSON                 WINCHESTER MTS. 15           
AZ   35.9840   -114.742  HOT SPRING                             H    H      null       null     1  KINGMAN                RINGBOLT RAPIDS 7.5          
AZ   33.0800   -109.303  HOT SPRING                           138   59      null         31     2  CLIFTON                CLIFTON 15                   
AZ   35.9600   -114.725  HOT SPRING                            86   30         2       null     2  KINGMAN                RINGBOLT RAPIDS 7.5          
AZ   32.9980   -109.901  INDIAN HOT SPRINGS                   118   48        14       null     1  SILVER CITY            THATCHER 15                  
AZ   34.5630   -113.497  KAISER HOT SPRING                     99   37      null       null     3  PRESCOTT               null                         
AZ   36.1960   -113.081  LAVA WARM SPRINGS                     90   32         3       null     3  GRAND CANYON           VULCANS THRONE 7.5           
AZ   31.5920   -109.510  LEWIS SPRING                          68   20      null       null     2  DOUGLAS                (SWISSHELM MTN. 15)          
AZ   32.3370   -110.708  MERCER SPRING                         77   25      null       null     3  TUCSON                 BELLOTA RANCH 15             
AZ   33.1520   -110.639  MESCAL WARM SPRING                    84   29      null       null    11  MESA                   MESCAL WARM SPRING 7.5       
AZ   33.9150   -112.332  MITCHELL SPRING                       79   26      null       null     2  PHOENIX                GOVERNORS PEAK 7.5           
AZ   31.6370   -110.703  MONKEY SPRING                         82   28      null       null     2  NOGALES                SONOITA 7.5                  
AZ   32.3270   -110.228  N-O SPRING                            73   23      null       null     5  TUCSON                 WINCHESTER MTS. 15           
AZ   34.8960   -114.308  OATMAN WARM SPRINGS                   91   33         4       null     2  NEEDLES                WARM SPRINGS 7.5             
AZ   36.4180   -113.956  PAKOON SPRINGS                        86   30         1       null     2  GRAND CANYON           PAKOON SPRINGS 7.5           
AZ   33.2090   -110.818  PIONEER SPRING                        91   33      null       null     7  MESA                   (EL CAPITAN MTN. 7.5)        
AZ   31.9430   -113.013  QUITOBAQUITO SPRINGS                  90   32        18       null     1  LUKEVILLE              QUITOBAQUITO SPRINGS 15      
AZ   32.7410   -114.068  RADIUM HOT SPRINGS                   140   60      null       null     1  EL CENTRO              WELLTON MESA 7.5             
AZ   33.6690   -111.165  ROOSEVELT DAM SPRINGS                118   48      null       null     1  MESA                   THEODORE ROOSEVELT DAM 7.5   
AZ   34.4360   -109.402  SALADO SPRINGS                        72   22         7       null     1  SAINT JOHNS            SALADO 7.5                   
AZ   33.8310   -110.574  SALT BANKS                            78   26         9       null     1  MESA                   (BLUE HOUSE MTN. 15)         
AZ   33.0750   -109.298  SEEP                                  95   35      null         31     3  CLIFTON                (CLIFTON 15)                 
AZ   34.6490   -111.744  SODA SPRING                           75   24         5       null     1  HOLBROOK               CASNER BUTTE 7.5             
AZ   34.4050   -111.602  SPRING                                72   22      null       null     2  HOLBROOK               STRAWBERRY 7.5               
AZ   33.2530   -110.703  SPRING                                75   24      null       null     6  MESA                   (CUTTER 7.5)                 
AZ   33.1630   -110.662  SPRING                                82   28      null       null    10  MESA                   MESCAL WARM SPRING 7.5       
AZ   34.4450   -112.693  SPRING                                72   22      null       null     1  PRESCOTT               KIRKLAND 7.5                 
AZ   34.0760   -111.708  SPRING (HOT)                          99   37      null       null     5  HOLBROOK               CHALK MOUNTAIN 7.5           
AZ   36.8950   -113.913  SPRINGS                               79   26      null       null     1  GRAND CANYON           LITTLEFIELD 15               
AZ   34.9100   -113.608  TOM BROWN WARM SPRING                 82   28      null       null     1  PRESCOTT               TOM BROWN CANYON 7.5         
AZ   34.3200   -111.453  TONTO NATURAL BRIDGE SPRING           72   22      null       null     4  HOLBROOK               BUCKHEAD MESA 7.5            
AZ   35.0770   -113.267  TROUT CREEK SPRING                    81   27      null       null     4  WILLIAMS               null                         
AZ   34.3570   -111.710  VERDE HOT SPRINGS                    104   40         6       null     3  HOLBROOK               VERDE HOT SPRINGS 7.5        
AZ   33.0680   -109.975  WARM SPRING                           90   32        13       null     4  CLIFTON                FORT THOMAS 15               
AZ   33.0620   -109.482  WARM SPRING                           73   23      null       null     5  CLIFTON                (CLIFTON 15)                 
AZ   33.7800   -110.317  WARM SPRING                            W    W      null       null     2  MESA                   CARRIZO SE 7.5               
AZ   32.9830   -110.373  WARM SPRING                           79   26        12       null     1  TUCSON                 COBRE GRANDE MTN. 7.5        
AZ   32.3450   -110.247  WARM SPRINGS                          91   33      null       null     2  TUCSON                 (WINCHESTER MTS. 15)         
AZ   33.4380   -110.213  WARM SPRINGS                          86   30      null       null     5  MESA                   BRONCO GULCH 7.5             
AZ   33.1980   -110.668  null                                  99   37      null       null     8  MESA                   (MESCAL WARM SPRING          
AZ   33.7480   -110.235  null                                  83   28      null       null     3  MESA                   (FORKS BUTTE 7.5)            
AZ   35.1100   -113.810  null                                  73   23      null       null     3  WILLIAMS               (DEAN PEAK 7.5)              
CA   39.0220   -122.444  ABBOTT MINE                           86   30      null       null    15  UKIAH                  WILBUR SPRINGS 15            
CA   38.6540   -122.484  AETNA SPRINGS                         91   33        80       null    29  SANTA ROSA             AETNA SPRINGS 7.5            
CA   34.5380   -119.560  AGUA CALIENTE SPRING                 133   56      null       null     2  LOS ANGELES            HILDRETH PEAK 7.5            
CA   32.9470   -116.305  AGUA CALIENTE SPRINGS                101   38       180       null     2  SAN DIEGO              AGUA CALIENTE 7.5            
CA   33.3630   -117.017  AGUA TIBIA SPRING                     92   33       178       null    12  SANTA ANA              (PALA 7.5)                   
CA   37.5030   -121.904  ALAMEDA WARM SPRINGS                  80   27        87       null     6  SAN JOSE               NILES 7.5                    
CA   40.3020   -120.195  AMEDEE HOT SPRINGS                   203   95        31         42     5  SUSANVILLE             WENDEL 15                    
CA   38.7730   -122.705  ANDERSON SPRINGS                     108   42        63         48    25  SANTA ROSA             WHISPERING PINES 7.5         
CA   34.1850   -117.262  ARROWHEAD SPRINGS, WATERMAN HOT SPR  194   90       162         62     3  SAN BERNARDINO         SAN BERNARDINO NORTH 7.5     
CA   38.8500   -122.667  BAD CREEK SPRING                      81   27      null       null    17  SANTA ROSA             (WHISPERING PINES 7.5)       
CA   35.8420   -117.380  BAINTER SPRING                        92   33      null       null     2  TRONA                  TRONA 15                     
CA   38.8920   -122.533  BAKER SODA SPRING                     76   24      null       null    13  SANTA ROSA             LOWER LAKE 7.5               
CA   41.1670   -120.032  BARE RANCH SPRING                     90   32        22       null    20  ALTURAS                (SNAKE LAKE 7.5)             
CA   39.1830   -122.700  BARTLETT SPRINGS                     144   62      null       null     7  UKIAH                  CLEARLAKE OAKS 15            
CA   41.1430   -121.110  BASSETT HOT SPRINGS                  174   79        28         37     3  ALTURAS                BIEBER 15                    
CA   37.8020   -118.532  BENTON HOT SPRINGS                   134   57       127       null     2  MARIPOSA               GLASS MOUNTAIN 15            
CA   37.8880   -118.487  BERTRAND RANCH SPRINGS                70   21       127       null     1  MARIPOSA               BENTON 15                    
CA   41.0250   -121.924  BIG BEND HOT SPRINGS                 180   82        24         39     6  ALTURAS                BIG BEND 15                  
CA   39.0060   -122.787  BIG SODA SPRING                       90   32        55         47    16  UKIAH                  LUCERNE 7.5                  
CA   37.2340   -118.881  BLANEY MEADOWS HOT SPRINGS           109   43       131       null    23  MARIPOSA               BLACKCAP MTN. 15             
CA   39.0320   -122.432  BLANK SPRING, MANZANITA MINE SPRS    112   45        66         44    13  UKIAH                  WILBUR SPRINGS 15            
CA   41.9190   -122.369  BOGUS SODA SPRINGS                    76   24         2       null     2  WEED                   COPCO 15                     
CA   40.4340   -121.399  BOILING SPRINGS LAKE                 190   88        37         40     7  SUSANVILLE             MT. HARKNESS 15              
CA   34.4230   -119.538  BORON SPRING                          72   22      null       null    11  LOS ANGELES            (CARPINTERIA 7.5)            
CA   39.2260   -120.010  BROCKWAY HOT SPRINGS                 131   55        44       null     5  CHICO                  (KINGS BEACH 7.5)            
CA   38.2370   -119.326  BUCKEYE HOT SPRING                   140   60       115         53     6  WALKER LAKE            MATTERHORN PEAK 15           
CA   40.4550   -121.501  BUMPASS HELL                         199   93        27         40     2  SUSANVILLE             LASSEN PEAK 15               
CA   37.8470   -121.635  BYRON HOT SPRINGS                     96   36        86       null     3  SAN JOSE               BYRON HOT SPRINGS 7.5        
CA   35.8810   -118.670  CALIFORNIA HOT SPRINGS               122   50       137       null     1  BAKERSFIELD            CALIFORNIA HOT SPRINGS 15    
CA   38.5800   -122.575  CALISTOGA HOT SPRINGS                172   78        81         50    30  SANTA ROSA             CALISTOGA 7.5                
CA   35.4000   -120.250  CAMETA WARM SPRING                    73   23      null       null     5  SAN LUIS OBISPO        (LA PANZA RANCH 7.5)         
CA   39.5730   -120.348  CAMPBELL HOT SPRINGS                 111   44        43       null     4  CHICO                  SIERRAVILLE 15               
CA   33.5450   -115.654  CANYON SPRING                         97   36      null       null     2  SALTON SEA             HAYFIELD 15                  
CA   38.9160   -122.799  CARLSBAD SPRING                       76   24        54         47    11  SANTA ROSA             KELSEYVILLE 7.5              
CA   35.4390   -119.846  CARNEROS SPRING                       90   32      null       null     2  BAKERSFIELD            CARNEROS ROCKS 7.5           
CA   37.6470   -118.859  CASA DIABLO HOT POOL                 165   74       124         56    15  MARIPOSA               MT. MORRISON 15              
CA   37.6480   -118.914  CASA DIABLO HOT SPRINGS AND GEYSER   199   93       123         56    13  MARIPOSA               MT. MORRISON 15              
CA   38.7680   -122.717  CASTLE ROCK SPRINGS                  163   73        62         48    26  SANTA ROSA             WHISPERING PINES 7.5         
CA   37.6380   -118.887  CHANCE SPRING                         73   23      null         56    17  MARIPOSA               (MT. MORRISON 15)            
CA   35.9460   -116.189  CHAPPO SPRING                         80   27       145       null     3  TRONA                  TECOPA 15                    
CA   36.1440   -120.555  COALINGA MINERAL SPRINGS             112   44       133       null     6  SANTA CRUZ             SHERMAN PEAK 7.5             
CA   33.6250   -115.325  CORN SPRING                           72   22      null       null     1  SALTON SEA             CHUCKWALLA MOUNTAINS 15      
CA   36.0450   -117.769  COSO HOT SPRINGS                     207   97       142         57     8  DEATH VALLEY           HAIWEE RESERVOIR 15          
CA   39.2920   -122.821  CRABTREE HOT SPRINGS                 106   41        48       null     3  UKIAH                  POTATO HILL 7.5              
CA   37.6320   -121.762  CROHARE SPRING                        70   21      null       null     4  SAN JOSE               (LIVERMORE 7.5)              
CA   38.9950   -122.642  DAVIS SODA SPRING                     73   23      null       null     1  SANTA ROSA             (CLEARLAKE HIGHLANDS 7.5)    
CA   33.4360   -117.324  DE LUZ WARM SPRINGS                   85   29       177       null    11  SANTA ANA              (FALLBROOK 7.5)              
CA   37.6770   -118.790  DEHY HOT SPRING                      134   57      null         56     6  MARIPOSA               (MT. MORRISON 15)            
CA   35.5580   -118.612  DELONEGHA HOT SPRINGS                112   44       151       null     5  BAKERSFIELD            MIRACLE HOT SPRINGS          
CA   35.5280   -118.665  DEMOCRAT HOT SPRINGS                 115   46       152       null     7  BAKERSFIELD            DEMOCRAT HOT SPRINGS 7.5     
